type,bug,error,file,solver,status1,status2,mutation_type
metamorphic,no,0.0,neos-5125849-lopori.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,,neos-5125849-lopori.mps.gz,cplex,time_limit_infeasible,time_limit_infeasible,ScaleObjective
consistency,no,-4.6332730789799825e-06,mkc.mps.gz,both,time_limit_feasible,time_limit_feasible,
metamorphic,determination,4.633251592167653e-06,mkc.mps.gz,gurobi,time_limit_feasible,optimal,TranslateObjective
metamorphic,efficiency,0.11399999998684507,mkc.mps.gz,cplex,time_limit_feasible,time_limit_feasible,TranslateObjective
metamorphic,no,0.0,mkc.mps.gz,gurobi,time_limit_feasible,time_limit_feasible,ScaleObjective
metamorphic,no,2.1600499167107046e-11,mkc.mps.gz,cplex,time_limit_feasible,time_limit_feasible,ScaleObjective
consistency,no,1.8189894035458565e-11,p500x2988c.mps.gz,both,optimal,optimal_tolerance,
metamorphic,no,0.0,p500x2988c.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,2.1827872842550278e-11,p500x2988c.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,p500x2988c.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,1.1641532182693481e-10,p500x2988c.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
consistency,no,0.0,neos-3661949-lesse.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,neos-3661949-lesse.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,neos-3661949-lesse.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,neos-3661949-lesse.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,neos-3661949-lesse.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,no,3.4924596548080444e-10,neos22.mps.gz,both,optimal,optimal_tolerance,
metamorphic,no,0.0,neos22.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,neos22.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,neos22.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,1.862645149230957e-09,neos22.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
consistency,efficiency,-0.15489214946588636,neos-619167.mps.gz,both,time_limit_feasible,optimal_tolerance,
metamorphic,efficiency,0.27112204541890605,neos-619167.mps.gz,gurobi,time_limit_feasible,optimal,TranslateObjective
metamorphic,no,1.6725675777706783e-06,neos-619167.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,1.675529512468188e-06,neos-619167.mps.gz,gurobi,time_limit_feasible,time_limit_feasible,ScaleObjective
metamorphic,correctness,4.138652598193655,neos-619167.mps.gz,cplex,optimal_tolerance,optimal,ScaleObjective
consistency,determination,0.0,neos-555884.mps.gz,both,optimal,time_limit_feasible,
metamorphic,no,0.0,neos-555884.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,neos-555884.mps.gz,cplex,time_limit_feasible,time_limit_feasible,TranslateObjective
metamorphic,no,0.0,neos-555884.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,neos-555884.mps.gz,cplex,time_limit_feasible,time_limit_feasible,ScaleObjective
consistency,no,1.0658141036401503e-13,prod2.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,prod2.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,0.0,prod2.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,prod2.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,0.0,prod2.mps.gz,cplex,optimal,optimal,ScaleObjective
consistency,no,-1.8917489796876907e-10,h50x2450.mps.gz,both,optimal,optimal,
metamorphic,no,0.0,h50x2450.mps.gz,gurobi,optimal,optimal,TranslateObjective
metamorphic,no,1.4551915228366852e-11,h50x2450.mps.gz,cplex,optimal,optimal,TranslateObjective
metamorphic,no,0.0,h50x2450.mps.gz,gurobi,optimal,optimal,ScaleObjective
metamorphic,no,6.402842700481415e-10,h50x2450.mps.gz,cplex,optimal,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,pk1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,pk1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,4.547473508864641e-13,ran13x13.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,ran13x13.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,4.0745362639427185e-09,timtab1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,1.5599653124809265e-08,timtab1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,3.456079866737127e-11,k16x240b.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,8.731149137020111e-11,k16x240b.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,ran12x21.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,ran12x21.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,5.587935447692871e-09,neos-3072252-nete.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,neos-3072252-nete.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,beavma.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,beavma.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,correctness,6.000000000029104,dcmulti.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,dcmulti.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,mas76.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,mas76.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,correctness,0.2539570000008098,blend2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,blend2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,gen-ip021.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,gen-ip021.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,5.4569682106375694e-12,graphdraw-gemcutter.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,2.9103830456733704e-11,graphdraw-gemcutter.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,rout.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,3.5652192309498787e-10,rout.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,7.275957614183426e-12,r50x360.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,r50x360.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,efficiency,249999850.0,glass4.mps.gz,cplex,optimal_tolerance,time_limit_feasible,TranslateObjective
metamorphic,no,0.0,glass4.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,9.825453162193298e-08,timtab1CUTS.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,6.044283509254456e-07,timtab1CUTS.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,khb05250.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,khb05250.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,ic97_tension.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,ic97_tension.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,6.891787052154541e-08,neos-631517.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,9.268522262573242e-06,neos-631517.mps.gz,cplex,optimal_tolerance,optimal,ScaleObjective
metamorphic,no,1.7462298274040222e-10,tr12-30.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,1.1641532182693481e-10,tr12-30.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,exp-1-500-5-5.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,exp-1-500-5-5.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,qnet1_o.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,qnet1_o.mps.gz,cplex,optimal_tolerance,optimal,ScaleObjective
metamorphic,correctness,0.9999999894207576,g200x740.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,correctness,7.999999917054083,g200x740.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,f2gap201600.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,f2gap201600.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,f2gap401600.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,f2gap401600.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,3.637978807091713e-12,binkar10_1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,3.637978807091713e-12,binkar10_1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,neos-4333596-skien.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,neos-4333596-skien.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,f2gap801600.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,f2gap801600.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,correctness,0.00037969624645484146,neos-1396125.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,correctness,0.01820220856461674,neos-1396125.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,gsvm2rl3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,2.220446049250313e-16,gsvm2rl3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,app2-2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,app2-2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,neos2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,neos2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,9.313225746154785e-10,ta1-UUM.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,3.725290298461914e-09,ta1-UUM.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,pg.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,pg.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,efficiency,30.81400026520714,gmu-35-40.mps.gz,cplex,time_limit_feasible,optimal_tolerance,TranslateObjective
metamorphic,efficiency,56.852400000207126,gmu-35-40.mps.gz,cplex,time_limit_feasible,optimal_tolerance,ScaleObjective
metamorphic,no,3.2143815587915014e-05,nh97_potential.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,5.3573025070363656e-05,nh97_potential.mps.gz,cplex,optimal_tolerance,optimal,ScaleObjective
metamorphic,no,0.0,mik-250-20-75-5.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,mik-250-20-75-5.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,mik-250-20-75-2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,mik-250-20-75-2.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,mik-250-20-75-1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,mik-250-20-75-1.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,mik-250-20-75-3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,mik-250-20-75-3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,mik-250-20-75-4.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,5.820766091346741e-11,mik-250-20-75-4.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,mcsched.mps.gz,cplex,optimal_tolerance,optimal,TranslateObjective
metamorphic,no,0.0,mcsched.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,3.18050297209993e-08,pg5_34.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,1.4551915228366852e-11,pg5_34.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,n5-3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,no,0.0,n5-3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,neos-1112787.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,correctness,0.00048828125,neos-1112787.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,n13-3.mps.gz,cplex,optimal_tolerance,optimal,TranslateObjective
metamorphic,no,0.0,n13-3.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,rococoC10-001000.mps.gz,cplex,optimal_tolerance,optimal,TranslateObjective
metamorphic,no,0.0,rococoC10-001000.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
metamorphic,no,0.0,neos-1112782.mps.gz,cplex,optimal_tolerance,optimal_tolerance,TranslateObjective
metamorphic,correctness,0.005859375,neos-1112782.mps.gz,cplex,optimal_tolerance,optimal_tolerance,ScaleObjective
